locode,action,evidence,lon,lat,locode_candidate,found_by,reason
ASPPG,move,SRC-008#3343,,,,wpi,緯度の符号が逆(北緯 14.27 度に置かれていた)。パゴパゴは南緯 14.28 度
BRRIG,move,SRC-008#3136,,,,subdivision;unlocode_coords;wpi,リオデジャネイロの座標に置かれていた。リオグランデ港はリオグランデ・ド・スル州(区分 BR-RS)
BRSUA,move,SRC-008#1345,,,,subdivision;unlocode_coords;wpi,バイーア州に置かれていた。スアペ港はペルナンブーコ州(区分 BR-PE)
CNYTN,move,SRC-008#2974,,,,subdivision;unlocode_coords;wpi,福建省に置かれていた。塩田港は深圳(広東省、区分 CN-GD)
IDGTO,move,SRC-008#1875,,,,wpi,トミニ湾の南側(南緯 0.90 度)に置かれていた。ゴロンタロは北緯 0.5 度
IDPNJ,move,SRC-008#314,,,,wpi,スマトラ島中部リアウの内陸に置かれていた。パンジャン港はランプン(スマトラ島南端)
JPABU,move,SRC-011#Q11554369,131.405556,31.575278,,subdivision,北海道の網走付近に置かれていた。油津港は宮崎県日南市(区分 JP-45)。SRC-008 に油津の行が無く SRC-009 に座標が無いため Wikidata の項目 Port of Aburatsu の座標を使う
JPSMZ,move,SRC-008#959,,,,subdivision;wpi,北海道十勝の清水町に置かれていた。清水港は静岡県(区分 JP-22)
NGLKK,move,SRC-008#3579,,,,unlocode_coords;wpi,ラゴスの西(東経 3.1 度)に置かれていた。レッキ港はレッキ半島の東(東経 4.0 度)
PAMIT,move,SRC-011#Q6753432,-79.882089,9.361958,,manual,パナマの太平洋側ベラグアス沖(西経 81.17 度・北緯 7.54 度)に置かれていた。マンサニヨ国際ターミナルはカリブ側コロン。四つの検査のどれにも当たらない(SRC-008 に同じコードが無く SRC-009 に区分も座標も無い)ため、名前での突き合わせで見つけた
QAMES,move,SRC-008#1327,,,,not_a_port,カタール東方の海上に置かれていた。メサイード港は SRC-008 の Umm Said(別名 Mesaieed)。QAMES は UN/LOCODE 2024-2 に無い
TRLMA,move,SRC-009#TRLMA,,,,subdivision;unlocode_coords,イズミル県アリアー付近に置かれていた。UN/LOCODE は区分 TR-41(コジャエリ)と座標 4043N 02953E の両方でイズミット湾を指す
TRYAR,move,SRC-008#2508,,,,subdivision;wpi,アナトリア内陸(東経 31.14 度・北緯 39.08 度)に置かれていた。ヤルムジャ港はイズミット湾(区分 TR-41)
USGLC,move,SRC-008#527,,,,subdivision,マサチューセッツ州グロスターに置かれていた。UN/LOCODE も名前も Gloucester City(ニュージャージー州)を指す。SRC-008 は同じコードを両方に付けている
USPWM,move,SRC-008#453,,,,subdivision;wpi,オレゴン州ポートランド(USPDX と同じ座標)に置かれていた。USPWM はメイン州ポートランド。outflows も USPDX の約 12 分の 1 で別の港である
JPHTD,move_relink,SRC-008#638,,,JPHKT,not_a_port,愛媛県の伯方島に置かれていた。JPHTD は伯方島の Hakata(道路のみ・港でない)。outflows が SRC-004 の 837 港中 164 位で、島の港の規模ではない。国内で港の機能を持つ Hakata は福岡の JPHKT(愛媛の JPHKS は名前が Hakatashima で違う)ため福岡の博多港へ移す
NOHLA,move_relink,SRC-009#NOHOA,,,NOHOA,not_a_port,テレマルク県の内陸(吸着 96.8 km)に置かれていた。NOHLA は道路のみで港でない。国内で港の機能を持つ同名は NOHOA(区分 NO-16・トロンデラーグ)だけ
TRELI,move_relink,SRC-008#2014,,,TRERE,not_a_port,コンヤ県エレーリ(内陸)に置かれていた。TRELI は道路のみ。国内で港の機能を持つ同名は TRERE(ゾングルダク県カラデニズ・エレーリ)だけ
TRPAM,move_relink,SRC-008#1852,,,TRAMR,not_a_port,ギレスン県(東経 39.17 度)に置かれていた。TRPAM は道路のみ。国内で港の機能を持つ同名は TRAMR(イスタンブールのアンバルル)だけ
USACL,move_relink,SRC-008#370,,,USCHT,not_a_port,バーモント州チェスター(内陸)に置かれていた。USACL は港でない。港の機能を持つ同名は USCHT(ペンシルベニア州)・USCR5(ウェストバージニア州)があるが、SRC-008 にある Chester は USCHT だけ
USBCK,move_relink,SRC-008#1246,,,USSSI,not_a_port;subdivision,ニュージャージー州ニューブランズウィックに置かれていた。USBCK はオハイオ州ブランズウィック(道路のみ)。国内で港の機能を持つ同名は USSSI(ジョージア州)だけ
USFEP,move_relink,SRC-008#764,,,USFPO,not_a_port;subdivision,メイン州フリーポートに置かれていた。USFEP はイリノイ州の空港。港の機能を持つ同名は USFPO(テキサス州)ほか 2 件あるが、SRC-008 にある Freeport は USFPO だけ
USHKA,move_relink,SRC-008#75,,,USHOU,not_a_port,アラスカ州ヒューストンに置かれていた。USHKA はアラスカの Houston(港でない)で座標も区分もそこを指す。outflows が 837 港中 47 位。国内で港の機能を持つ同名は USHOU(テキサス州)だけ
USNFF,move_relink,SRC-008#124,,,USORF,not_a_port,コネチカット州ノーフォーク(内陸)に置かれていた。USNFF は港でない。outflows が 837 港中 32 位。国内で港の機能を持つ同名は USORF(バージニア州)だけ
USPDP,move_relink,SRC-008#155,,,USPHL,not_a_port,ニューヨーク州フィラデルフィア(内陸)に置かれていた。USPDP は港でない。国内で港の機能を持つ同名は USPHL(ペンシルベニア州)だけ
INHZR,relink,SRC-008#1215,,,INHZA,not_a_port;subdivision;unlocode_coords,座標はグジャラート州のハジラ港で正しい。INHZR はハリヤーナー州の Hazira(道路のみ)を指す。港は INHZA
USCAT,relink,SRC-008#369,,,USCDE,not_a_port;subdivision,座標はニュージャージー州カムデン港で正しい。USCAT はテネシー州カムデン(道路のみ)を指す。港は USCDE
USCAV,relink,SRC-008#2870,,,USCLE,not_a_port;subdivision,座標はオハイオ州クリーブランド港で正しい。USCAV はテキサス州クリーブランド(道路のみ)を指す。港は USCLE
USEPI,relink,SRC-008#2060,,,USEPM,not_a_port;subdivision;unlocode_coords,座標はメイン州イーストポート港で正しい。USEPI はアイダホ州イーストポート(国境の道路)を指す。港は USEPM
